30.04.2020;22:31:12  3c371 271.516667 69.764167
30.04.2020;22:52:42  pvcep 311.250000 68.015000
01.05.2020;20:08:27  oj287 134.020833 20.030833
01.05.2020;20:30:03  m87 187.983333 12.282222
01.05.2020;20:57:30  q1959 299.754167 65.145556
01.05.2020;21:22:07  pks1222 186.495833 21.265556
01.05.2020;22:01:35  s40954 149.962500 65.436667
01.05.2020;22:20:56  4u0115 19.808333 63.846944
01.05.2020;22:37:46  b21308 197.920833 32.232500
01.05.2020;23:21:37  wcom 185.641667 28.142222
01.05.2020;23:51:13  bllac 330.808333 42.373333
02.05.2020;00:09:17  s50716 110.766667 71.275833
02.05.2020;19:53:54  b21420 215.858333 32.278611
02.05.2020;22:48:12  q1959 299.816667 65.136389
03.05.2020;19:13:07  s50716 110.875000 71.245833
03.05.2020;20:00:33  s40954 149.983333 65.440278
04.05.2020;19:39:35  s50716 111.012500 71.251111
04.05.2020;19:50:07  oj287 134.054167 20.029444
04.05.2020;20:21:10  q1959 299.900000 65.171944
04.05.2020;21:21:46  pks1222 186.500000 21.297778
04.05.2020;21:49:18  q1959 299.904167 65.204444
04.05.2020;22:12:03  s50716 110.916667 71.283056
04.05.2020;22:39:58  4u0115 19.945833 63.844444
04.05.2020;23:15:03  mkn501 253.645833 39.720556
04.05.2020;23:22:45  bllac 330.833333 42.373889
04.05.2020;23:33:07  s50716 110.916667 71.279167
05.05.2020;20:20:00  q1959 299.770833 65.160000
05.05.2020;21:26:54  oj287 134.041667 20.043889
05.05.2020;21:51:38  pks1222 186.508333 21.278611
05.05.2020;22:00:51  pg1553 239.179167 11.141944
05.05.2020;22:23:26  h1722 261.525000 11.869722
05.05.2020;22:55:44  b21420 215.883333 32.288611
05.05.2020;23:11:28  pks1222 186.508333 21.267778
05.05.2020;23:18:01  b21420 215.891667 32.289722
05.05.2020;23:51:59  pks1222 186.504167 21.268333
05.05.2020;23:55:54  bllac 330.800000 42.373611
06.05.2020;20:04:26  s50716 110.850000 71.239444
06.05.2020;20:20:38  oj287 134.045833 20.023611
06.05.2020;20:44:59  q1959 299.808333 65.160278
06.05.2020;21:36:37  pks1222 186.512500 21.266944
06.05.2020;22:14:17  s40954 149.995833 65.435278
06.05.2020;22:45:46  wcom 185.670833 28.148056
06.05.2020;23:10:18  mkn501 253.629167 39.704444
06.05.2020;23:34:14  bllac 330.791667 42.374167
07.05.2020;00:00:01  s50716 110.783333 71.260000
07.05.2020;19:40:57  s50716 110.820833 71.251389
07.05.2020;19:55:49  q1959 299.808333 65.181111
07.05.2020;20:36:54  s40954 149.979167 65.448889
07.05.2020;21:07:39  oj287 134.008333 20.070833
07.05.2020;21:30:38  pks1222 186.475000 21.299722
07.05.2020;22:07:06  wcom 185.637500 28.151944
07.05.2020;22:30:23  q1156 180.170833 29.161667
07.05.2020;23:27:11  pg1553 239.208333 11.182222
07.05.2020;23:44:51  mkn501 253.633333 39.723056
09.05.2020;19:46:32  s50716 110.954167 71.237222
09.05.2020;20:02:44  q1959 299.891667 65.172778
09.05.2020;20:58:39  s40954 149.995833 65.451667
09.05.2020;21:38:43  q1156 180.216667 29.147222
09.05.2020;22:34:28  wcom 185.637500 28.120556
09.05.2020;23:04:37  pg1553 239.241667 11.144167
09.05.2020;23:26:25  bllac 330.825000 42.377222
10.05.2020;20:35:15  3c273 185.495833 4.492778
10.05.2020;21:19:42  m61 185.737500 4.382778
10.05.2020;21:39:43  3c279 194.350000 -5.858056
10.05.2020;22:24:12  pg1553 239.187500 11.149444
10.05.2020;22:45:23  pks1222 186.470833 21.290833
10.05.2020;23:16:38  q1959 299.845833 65.145833
12.05.2020;20:38:31  s50716 108.829167 71.248333
12.05.2020;21:03:32  q1959 297.858333 65.156667
12.05.2020;21:58:09  m61 183.791667 4.433889
12.05.2020;22:28:17  s40954 147.995833 65.453056
12.05.2020;22:55:05  wcom 183.666667 28.150000
12.05.2020;23:22:06  pks1222 184.512500 21.282222
12.05.2020;23:46:43  bllac 328.841667 42.368333
14.05.2020;20:30:54  m61 185.766667 4.431389
14.05.2020;20:47:52  q1959 216.733333 33.245000
14.05.2020;20:51:22  q1959 299.804167 65.158611
14.05.2020;21:42:53  pks1222 186.491667 21.286944
14.05.2020;21:58:59  b21308 197.916667 32.219167
14.05.2020;22:37:53  pks1222 186.487500 21.262778
14.05.2020;23:13:52  pks1222 186.500000 21.287778
14.05.2020;23:16:53  b21420 215.875000 32.293611
18.05.2020;20:08:24  m61 185.779167 4.400278
18.05.2020;20:14:16  q1959 299.816667 65.160833
18.05.2020;20:32:37  pks1222 186.516667 21.267222
18.05.2020;21:18:46  m61 185.779167 4.435000
18.05.2020;21:38:31  3c279 194.379167 -5.860833
18.05.2020;22:05:18  pg1553 239.191667 11.150556
18.05.2020;22:24:20  q1959 299.829167 65.145833
18.05.2020;23:18:29  bllac 330.787500 42.355000
19.05.2020;20:26:22  q1959 299.808333 65.131667
19.05.2020;21:01:46  3c279 194.387500 -5.821667
19.05.2020;21:27:43  m61 185.791667 4.475000
19.05.2020;21:35:40  pks1222 186.483333 21.315556
19.05.2020;21:43:01  s40954 149.983333 65.465556
19.05.2020;22:18:46  bllac 330.762500 42.375278
19.05.2020;22:30:36  pg1553 239.183333 11.168889
19.05.2020;22:51:28  h1722 261.512500 11.894722
21.05.2020;21:32:28  q1959 300.054167 65.206111
21.05.2020;22:03:09  q1959 299.820833 65.110000
21.05.2020;23:13:29  s50716 110.750000 71.214722
21.05.2020;23:24:22  pg1553 239.204167 11.104444
22.05.2020;21:07:03  s50716 110.829167 71.250556
22.05.2020;21:25:43  m61 185.770833 4.424444
22.05.2020;21:32:32  m87 187.975000 12.293056
22.05.2020;21:45:44  pks1406 212.508333 -7.969167
22.05.2020;22:26:03  s40954 149.958333 65.442778
22.05.2020;22:58:35  q1959 299.816667 65.130278
