
q1959           1:50            20:00:13  65:15:00             20:00:14 65:11:22
4u0115          3:18            01:19:59  63:53:00             01:20:57 63:53:25
3c66a           3:54            02:24:04  43:10:00             02:24:26 43:10:22
ao0235          4:42            02:39:52  16:45:00             02:40:07 16:43:50
s50716         10:58            07:24:23  71:20:00             07:24:53 71:19:32
oj287          11:19            08:56:05  20:03:00             08:56:24 20:02:22
s40954         11:58            10:00:28  65:30:00             10:01:00 65:29:24
q1156          12:35            12:00:40  29:09:00             12:01:11 29:09:28
wcom           13:10            12:22:38  28:09:00             12:22:56 28:08:13
pks1222        13:42            12:26:01  21:17:00             12:26:16 21:15:46
pg1553         14:06            15:56:46  11:10:00             15:56:40 11:08:54
4u0115          3:55            01:19:59  63:53:00             01:20:22 63:53:25
3c66a           4:32            02:24:04  43:10:00             02:24:07 43:09:55
1es0647         5:09            06:52:08  25:03:00             06:51:51 25:00:27
txs0506         5:42            05:10:37  05:45:00             05:10:26 05:45:44
s50716          6:04            07:24:23  71:20:00             07:24:47 71:19:05
pks0735         6:20            07:39:24  17:41:00             07:39:11 17:41:00
s50716          8:05            07:24:23  71:20:00             07:24:43 71:19:59
oj49            8:27            08:32:59  04:27:00             08:32:58 04:26:58
oj287           8:55            08:56:05  20:03:00             08:55:57 20:01:28
s40954          9:35            10:00:28  65:30:00             10:00:40 65:28:30
4u0115          7:46            01:19:59  63:53:00             01:20:23 63:52:04
s50716         10:10            07:24:23  71:20:00             07:25:11 71:19:59
oj287          11:50            08:56:05  20:03:00             08:56:32 20:01:55
bllac           3:45            22:03:38  42:25:00             22:03:32 42:23:58
3c66a           4:14            02:24:04  43:10:00             02:24:33 43:09:55
pks0420         5:41            04:24:23 -01:16:00             04:24:59 -1:16:51
txs0506         6:11            05:10:37  05:45:00             05:11:01 05:45:44
1es0647         6:33            06:52:08  25:03:00             06:52:24 25:00:27
s50716          7:20            07:24:23  71:20:00             07:25:12 71:19:05
pks0735         7:43            07:39:24  17:41:00             07:39:46 17:41:27
oj49            8:08            08:32:59  04:27:00             08:33:14 04:26:31
q0836           8:31            08:43:37  70:51:00             08:44:14 70:49:48
oj287           9:04            08:56:05  20:03:00             08:56:29 20:01:55
s40954          9:44            10:00:28  65:30:00             10:01:01 65:28:57
s41030         10:19            10:35:19  60:46:00             10:35:50 60:45:58
q1156          10:40            12:00:40  29:09:00             12:01:00 29:08:34
wcom           11:10            12:22:38  28:09:00             12:22:40 28:07:19
h1722          21:07            17:26:05  11:53:00             17:26:28 11:53:01
bllac          21:41            22:03:37  42:25:00             22:03:48 42:28:01
j2103          22:07            21:04:22  45:52:00             21:04:49 45:54:47
q1959          22:48            20:00:13  65:15:00             20:00:50 65:14:59
cta102         23:43            22:33:41  11:53:00             22:33:59 11:52:07
hd204827       00:55            21:29:35  58:52:00             21:30:03 58:53:19
bd284211       23:19            21:52:10  29:00:00             21:52:24 29:00:28
pvcep          23:34            20:46:07  68:04:00             20:46:17 68:06:40
hd212311       00:14            22:22:47  56:41:00             22:23:12 56:41:45
hbc722         00:26            20:59:04  44:01:00             20:59:20 43:59:01
v1057          00:54            20:59:41  44:23:00             20:59:42 44:23:21
3c66a          03:20            02:24:03  43:10:00             02:24:25 43:11:43
ao0235         04:41            02:39:52  16:45:00             02:40:08 16:44:17
pks0420        05:12            04:24:22  -1:16:00             04:24:55 -1:15:30
tx50506        06:20            05:10:36  05:45:00             05:10:55 05:47:32
j0521          07:10            05:23:04  21:16:00             05:23:18 21:16:40
1e50647        07:46            06:52:07  25:03:00             06:52:20 25:02:42
s50716         08:21            07:24:22  71:20:00             07:25:11 71:20:26
3c454          02:15            22:55:02  16:18:00             22:55:13 16:16:49
j2103          03:00            21:04:22  45:52:00             21:04:25 45:52:32
4u0115         03:27            01:19:59  63:53:00             01:20:45 63:55:13
cta26          04:27            03:40:27  -1:40:00             03:40:53 -1:39:21
pk50735        06:49            07:39:23  17:41:00             07:39:36 17:41:27
oj248          07:22            08:32:10  24:09:00             08:32:15 24:08:40
oj49           07:44            08:32:58  04:27:00             08:33:08 04:27:52
oj287          07:58            08:56:04  20:03:00             08:56:10 20:02:22
cicam          04:33            04:21:31  56:05:00             04:22:06 56:04:21       
